CEP,Nome da Unidade,Endereço,DRE,address_type,address_name,address,state,district,lat,lng,city,city_ibge,ddd
02169030,CEU Parque Novo Mundo – Leônidas da Silva,"Av. Ernesto Augusto Lopes, 100 - Parque Vila Maria",DRE Jaçanã/Tremembé,Avenida,Ernesto Augusto Lopes,Avenida Ernesto Augusto Lopes,SP,Parque Vila Maria,-23.5208,-46.5758,São Paulo,3550308,11
02181190,Escola Aberta – EMEF Profa. Célia Regina Lekevicius Consolin,"Rua Giuseppe Marino, S/N - Parque Novo Mundo",DRE Jaçanã/Tremembé,Rua,Giuseppe Marino,Rua Giuseppe Marino,SP,Parque Novo Mundo,-23.51765,-46.55808,São Paulo,3550308,11
02276010,CEU Jaçanã,"Rua Francisca Espósito Tonetti, 105",DRE Jaçanã/Tremembé,Rua,Francisca Espósito Tonetti,Rua Francisca Espósito Tonetti,SP,Guapira,-23.45746,-46.58298,São Paulo,3550308,11
02320110,CEU Tremembé – Maria Firmina dos Reis,"Rua Adauto Bezerra Delgado, 94 - Parque Casa de Pedra",DRE Jaçanã/Tremembé,Rua,Adauto Bezerra Delgado,Rua Adauto Bezerra Delgado,SP,Parque Casa de Pedra,-23.44978,-46.59674,São Paulo,3550308,11
02360010,Escola Aberta – EMEF Hipolito Jose da Costa,"Rua Augusto Rodrigues, 272 - Jardim Fontalis",DRE Jaçanã/Tremembé,Rua,Augusto Rodrigues,Rua Augusto Rodrigues,SP,Jardim Fontalis,-23.43827,-46.57754,São Paulo,3550308,11
02652110,Escola Aberta – EMEF Zilka Salaberry de Carvalho,"Rua Antônio da Franca e Horta, 35 - Jardim Peri",DRE Freguesia/Brasilândia,Rua,Antônio da Franca e Horta,Rua Antônio da Franca e Horta,SP,Jardim Peri,-23.45767,-46.6577,São Paulo,3550308,11
02814000,CEU Jardim Paulistano,"R Aparecida do Taboado, s/n - Jardim Paulistano",DRE Freguesia/Brasilândia,Rua,Aparecida do Taboado,Rua Aparecida do Taboado,SP,Jardim Paulistano,-23.46117,-46.70931,São Paulo,3550308,11
02815000,CEU Taipas – Profª Maria Beatriz Nascimento,"Rua João Amado Coutinho, 240 - Jaraguá",DRE Pirituba,Rua,João Amado Coutinho,Rua João Amado Coutinho,SP,Conjunto Residencial Elisio Teixeira Leite,-23.4447,-46.71404,São Paulo,3550308,11
02832240,CEU Freguesia – Esperança Garcia,"Rua Jacutiba, 167 - Parque São Luis",DRE Freguesia/Brasilândia,Rua,Jacutiba,Rua Jacutiba,SP,Parque São Luís,-23.48329,-46.69295,São Paulo,3550308,11
02876170,CEU Paz,"Rua Daniel Cerri, 1549 - Jardim Paraná",DRE Freguesia/Brasilândia,Rua,Daniel Cerri,Rua Daniel Cerri,SP,Jardim Paraná,-23.44579,-46.69555,São Paulo,3550308,11
02998080,CEU Pinheirinho – Luis Gama,"Rua Camilo Zanotti, 92 - Conjunto City Jaraguá",DRE Pirituba,Rua,Camillo Zanotti,Rua Camillo Zanotti,SP,Conjunto City Jaraguá,-23.43678,-46.73338,São Paulo,3550308,11
03074000,CEU Tiquatira,"Av. Condessa Elizabeth de Robiano, 5280 - Vila Moreira",DRE Penha,Avenida,Condessa Elisabeth de Robiano,Avenida Condessa Elisabeth de Robiano,SP,Vila Moreira,-23.52676,-46.56426,São Paulo,3550308,11
03227000,CEU Vila Alpina – Profª Virgínia Leone Bicudo,"Rua João Pedro Lecor, 141 - Vila Prudente",DRE Ipiranga,Avenida,Francisco Falconi,Avenida Francisco Falconi,SP,Jardim Avelino,-23.58899,-46.56791,São Paulo,3550308,11
03312000,CEU Carrão – Carolina Maria de Jesus,"Rua Monte Serrat, 380 - Tatuapé",DRE Penha,Rua,Monte Serrat,Rua Monte Serrat,SP,Tatuapé,-23.54121,-46.56195,São Paulo,3550308,11
03385150,CEU Formosa – Professor Eden Silvério de Oliveira,"Rua Sargento Claudiner Evaristo Dias, 10 - Parque Santo Antônio",DRE Itaquera,Rua,Sargento Claudiner Evaristo Dias,Rua Sargento Claudiner Evaristo Dias,SP,Parque Santo Antônio,-23.58111,-46.52479,São Paulo,3550308,11
03520000,Escola Aberta – EMEF 19 de Novembro,"Praça Bauxita, 99 - Vila Dalila",DRE Penha,Avenida,Dalila,Avenida Dalila,SP,Vila Dalila,-23.54698,-46.52187,São Paulo,3550308,11
03572020,CEU Aricanduva – Professora Irene Galvão de Souza,"Av. Olga Fadel Abarca, S/N - Jardim Santa Terezinha",DRE Itaquera,Avenida,Olga Fadel Abarca,Avenida Olga Fadel Abarca,SP,Jardim Santa Terezinha,-23.57327,-46.50257,São Paulo,3550308,11
03577040,Escola Aberta – EMEF Brigadeiro Correia De Mello,"Rua Galeandra, S/N - Jardim Fernandes",DRE Itaquera,Rua,Galeandra,Rua Galeandra,SP,Jardim Eliane,-23.55117,-46.50383,São Paulo,3550308,11
03683040,Escola Aberta – EMEF Profa. Wanny Salgado Rocha,"Rua Sílvio Ribeiro dos Santos, 104 - Vila União",DRE Penha,Rua,Sílvio Ribeiro dos Santos,Rua Sílvio Ribeiro dos Santos,SP,Vila União,-23.51805,-46.4775,São Paulo,3550308,11
03819160,CEU Quinta do Sol,"Av. Luiz Imparato, 564 - Parque Cisper",DRE Penha,Avenida,Luiz Imparato,Avenida Luiz Imparato,SP,Parque Císper,-23.5002,-46.49772,São Paulo,3550308,11
03978500,CEU Rosa da China,"Rua Clara Petrela, 113 - Jardim São Roberto",DRE São Mateus,Rua,Clara Petrela,Rua Clara Petrela,SP,Jardim São Roberto,-23.62168,-46.50119,São Paulo,3550308,11
04177070,CEU Parque Bristol,"Rua Professor Artur Primavesi, s/n - Parque Bristol",DRE Ipiranga,Rua,Professor Artur Primavesi,Rua Professor Artur Primavesi,SP,Parque Bristol,-23.64459,-46.61125,São Paulo,3550308,11
04186100,Escola Aberta – EMEF Prof. Leão Machado,"Avenida Carlos Liviero, 600 - Vila Liviero",DRE Ipiranga,Avenida,Carlos Liviero,Avenida Carlos Liviero,SP,Vila Liviero,-23.64538,-46.59345,São Paulo,3550308,11
04240110,CEU Meninos – Professor Pr. Artur Alberto de Mota Gonçalves,"Rua Barbinos, 111 - São João Clímaco",DRE Ipiranga,Rua,Barbinos,Rua Barbinos,SP,São João Clímaco,-23.62172,-46.58413,São Paulo,3550308,11
04244000,CEU Heliópolis – Professora Arlete Persoli,"Estrada das Lagrimas, 2385 - São João Climaco",DRE Ipiranga,Estrada,das Lágrimas,Estrada das Lágrimas,SP,São João Clímaco,-23.62971,-46.58753,São Paulo,3550308,11
04325001,CEU Caminho do Mar – Professora Dulce Salles Cunha Braga,"Av Eng Armando de Arruda Pereira, 5241 - Vila do Encontro",DRE Santo Amaro,Avenida,Engenheiro Armando de Arruda Pereira,Avenida Engenheiro Armando de Arruda Pereira,SP,Vila do Encontro,-23.65687,-46.63634,São Paulo,3550308,11
04351050,Escola Aberta – EMEF Almirante Ary Parreiras,"Rua Ipaobi, 142 - Vila Babilonia",DRE Santo Amaro,Rua,Ipaobi,Rua Ipaobi,SP,Vila Babilônia,-23.64474,-46.65507,São Paulo,3550308,11
04433010,Escola Aberta – EMEF Almirante Sylvio Heck,"Rua Pedro Nogueira de Pazes, 199 - Jardim Itapura",DRE Santo Amaro,Rua,Pedro Nogueira de Pazes,Rua Pedro Nogueira de Pazes,SP,Jardim Itapura,-23.68835,-46.65894,São Paulo,3550308,11
04434010,Escola Aberta – EMEF Prestes Maia,"Rua Selma Kurtz, 166 - Jardim Martini",DRE Santo Amaro,Rua,Selma Kurtz,Rua Selma Kurtz,SP,Jardim Maria Luiza,-23.67816,-46.66522,São Paulo,3550308,11
04474340,CEU Alvarenga,"Estrada do Alvarenga, 3752 - Balneário São Francisco - Pedreira",DRE Santo Amaro,Estrada,do Alvarenga,Estrada do Alvarenga,SP,Balneário São Francisco,-23.69789,-46.64814,São Paulo,3550308,11
04777000,CEU Cidade Dutra – Doutor Adib Salomão,"Av. Interlagos, 7350 - Interlagos",DRE Capela do Socorro,Avenida,Interlagos,Avenida Interlagos,SP,Interlagos,-23.70386,-46.70214,São Paulo,3550308,11
04823090,CEU Vila Rubi – Jornalista Alexandre Kadunc,"Rua Domingos Tarroso, 101 - Vila Rubi",DRE Capela do Socorro,Rua,Domingos Tarroso,Rua Domingos Tarroso,SP,Vila Rubi,-23.72736,-46.6969,São Paulo,3550308,11
04849503,CEU Navegantes – Professor José Everardo Rodrigues Cosme,"Rua Maria Moassab Barbour, S/N - Cantinho do Céu",DRE Capela do Socorro,Rua,Maria Moassab Barbour,Rua Maria Moassab Barbour,SP,Cantinho do Céu,-23.74419,-46.66065,São Paulo,3550308,11
04850190,Escola Aberta – EMEF Padre José Pegoraro,"Rua Portunhos, S/N - Parque Cocaia",DRE Capela do Socorro,Rua,Portunhos,Rua Portunhos,SP,Parque Cocaia,-23.75439,-46.67783,São Paulo,3550308,11
04855000,Escola Aberta – EMEF Prof. Lia – Maria dos Reis de Jesus Souza Silva,"Rua Alziro Pinheiro Magalhães, 877 - Parque São Miguel",DRE Capela do Socorro,Rua,Alziro Pinheiro Magalhães,Rua Alziro Pinheiro Magalhães,SP,Parque São Miguel,-23.75602,-46.68616,São Paulo,3550308,11
04855257,CEU Três Lagos,"Rua Maria Moura da Conceição, S/N - Jd. Belcito",DRE Capela do Socorro,Rua,Maria Moura da Conceição,Rua Maria Moura da Conceição,SP,Jardim Belcito,-23.76678,-46.67969,São Paulo,3550308,11
04890090,CEU Parelheiros – Professora Eneida Palma Leite,"Rua José Pedro de Borba, 20 - Jardim Novo Parelheiros",DRE Capela do Socorro,Rua,José Pedro de Borba,Rua José Pedro de Borba,SP,Jardim Novo Parelheiros,-23.8277,-46.72732,São Paulo,3550308,11
04895280,Escola Aberta – EMEF Vargem Grande I,"Rua Beija Flor, 1 - Colônia",DRE Capela do Socorro,Rua,Beija-flor,Rua Beija-flor,SP,Colônia,-23.41782,-46.75185,São Paulo,3550308,11
04945015,CEU Guarapiranga – Florinda Lotaif Schain,"Estrada da Baronesa, 1120 - Parque Bologne",DRE Campo Limpo,Estrada,da Baronesa,Estrada da Baronesa,SP,Parque do Lago,-23.7171,-46.77744,São Paulo,3550308,11
04953040,Escola Aberta – EMEF Teresa Margarida da Silva e Orta,"Rua Eng. Milton de Alvarenga Peixoto, 20 - Vila Gilda",DRE Campo Limpo,Rua,Engenheiro Milton de Alvarenga Peixoto,Rua Engenheiro Milton de Alvarenga Peixoto,SP,Vila Gilda,-22.48805,-47.21572,São Paulo,3550308,11
04962000,CEU Vila do Sol,"Av. dos Funcionários Públicos, 369 - Vila do Sol",DRE Campo Limpo,Avenida,dos Funcionários Públicos,Avenida dos Funcionários Públicos,SP,Vila do Sol,-23.73868,-46.78144,São Paulo,3550308,11
